"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Connect to Postgres DB","Chromium","2026-06-05","skipped","2026-06-05","","tests\db\DB.test.ts","",""
"","1550","test","Chromium","2026-06-05","passed","2026-06-05","","test-1.spec.ts","",""
"","11","postUsers","Chromium","2026-06-05","skipped","2026-06-05","","tests\api\POST.test.ts","",""
"","17729","Edit User - Update Existing User Details","Chromium","2026-06-05","passed","2026-06-05","","tests\functional\user-management\user\EditUser.test.ts","",""
"","4007","Verify web-admin Login @Smoke","Chromium","2026-06-05","passed","2026-06-05","","tests\functional\Login.test.ts","",""
"","3562","Verify Page Accessibility","Chromium","2026-06-05","passed","2026-06-05","","tests\accessibility\Axe.test.ts","",""
"","26213","Create User - Navigate to Add New User Page","Chromium","2026-06-05","passed","2026-06-05","","tests\functional\user-management\user\CreateUser.test.ts","",""
"","13298","Delete User - Remove Existing User","Chromium","2026-06-05","passed","2026-06-05","","tests\functional\user-management\user\DeleteUser.test.ts","",""
"","11","getUsers","Chromium","2026-06-05","skipped","2026-06-05","","tests\api\GET.test.ts","",""
"","1","Verify Elements Page.","Chromium","2026-06-05","skipped","2026-06-05","","tests\devices\Emulation.test.ts","",""
"","4742","Verify Elements Page.","Chromium","2026-06-05","failed","2026-06-05","","tests\visualComparison\visualComparision.test.ts","",""
